ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-02-02,31.654698733010765,23.64910814072794,43.506552132776406,31.654698733010765,31.654698733010765,1.8442888469945486,1.8442888469945486,1.8442888469945486,1.0892424057067616,1.0892424057067616,1.0892424057067616,0.7550464412877869,0.7550464412877869,0.7550464412877869,0.0,0.0,0.0,33.49898758000531
2015-02-03,31.63789152912179,23.64905591841434,43.06362567185904,31.63789152912179,31.63789152912179,1.8745766007454485,1.8745766007454485,1.8745766007454485,1.01099041692385,1.01099041692385,1.01099041692385,0.8635861838215986,0.8635861838215986,0.8635861838215986,0.0,0.0,0.0,33.51246812986724
2015-02-04,31.621084325232815,23.166877900999182,43.144097749748056,31.621084325232815,31.621084325232815,1.9264308888974513,1.9264308888974513,1.9264308888974513,0.9760845581579883,0.9760845581579883,0.9760845581579883,0.9503463307394628,0.9503463307394628,0.9503463307394628,0.0,0.0,0.0,33.547515214130264
2015-02-05,31.604277121343838,23.985143668894466,43.24374685384494,31.604277121343838,31.604277121343838,1.9507199492267828,1.9507199492267828,1.9507199492267828,0.9372482889972399,0.9372482889972399,0.9372482889972399,1.013471660229543,1.013471660229543,1.013471660229543,0.0,0.0,0.0,33.55499707057062
2015-02-06,31.587469917454865,23.973998024125887,43.65724631858198,31.587469917454865,31.587469917454865,1.9762968256482847,1.9762968256482847,1.9762968256482847,0.9248777555229617,0.9248777555229617,0.9248777555229617,1.051419070125323,1.051419070125323,1.051419070125323,0.0,0.0,0.0,33.56376674310315
2015-02-09,31.537048305787938,23.580206217427282,43.356793457888365,31.537048305787938,31.537048305787938,2.0930139091769533,2.0930139091769533,2.0930139091769533,1.089242405706742,1.089242405706742,1.089242405706742,1.0037715034702113,1.0037715034702113,1.0037715034702113,0.0,0.0,0.0,33.630062214964894
2015-02-10,31.520241101898964,24.214174141340752,43.99524999225841,31.520241101898964,31.520241101898964,1.943314263058934,1.943314263058934,1.943314263058934,1.0109904169228547,1.0109904169228547,1.0109904169228547,0.9323238461360795,0.9323238461360795,0.9323238461360795,0.0,0.0,0.0,33.4635553649579
2015-02-11,31.503433898009984,23.095944596340257,42.98478000660863,31.503433898009984,31.503433898009984,1.8091945503660276,1.8091945503660276,1.8091945503660276,0.976084558158102,0.976084558158102,0.976084558158102,0.8331099922079257,0.8331099922079257,0.8331099922079257,0.0,0.0,0.0,33.31262844837601
2015-02-12,31.48662669412101,23.95626554311921,43.133268754678504,31.48662669412101,31.48662669412101,1.6439150830707931,1.6439150830707931,1.6439150830707931,0.9372482889966646,0.9372482889966646,0.9372482889966646,0.7066667940741284,0.7066667940741284,0.7066667940741284,0.0,0.0,0.0,33.1305417771918
2015-02-13,31.469819490232037,22.07190078813382,42.83962760188221,31.469819490232037,31.469819490232037,1.478750049378655,1.478750049378655,1.478750049378655,0.9248777555255813,0.9248777555255813,0.9248777555255813,0.5538722938530735,0.5538722938530735,0.5538722938530735,0.0,0.0,0.0,32.948569539610695
2015-02-17,31.402590674676134,21.529302471748103,41.921146395969934,31.402590674676134,31.402590674676134,0.7188509186210842,0.7188509186210842,0.7188509186210842,1.010990416921859,1.010990416921859,1.010990416921859,-0.2921394983007751,-0.2921394983007751,-0.2921394983007751,0.0,0.0,0.0,32.12144159329722
2015-02-18,31.38578347078716,21.60143910741998,42.259088584513016,31.38578347078716,31.38578347078716,0.4233980921918446,0.4233980921918446,0.4233980921918446,0.9760845581578415,0.9760845581578415,0.9760845581578415,-0.5526864659659969,-0.5526864659659969,-0.5526864659659969,0.0,0.0,0.0,31.809181562979006
2015-02-19,31.368976266898184,21.92198333814836,41.09134485255072,31.368976266898184,31.368976266898184,0.10911794249675791,0.10911794249675791,0.10911794249675791,0.9372482889974703,0.9372482889974703,0.9372482889974703,-0.8281303465007123,-0.8281303465007123,-0.8281303465007123,0.0,0.0,0.0,31.478094209394943
2015-02-20,31.35216906300921,21.58929237725135,40.92464460228991,31.35216906300921,31.35216906300921,-0.19088983931703019,-0.19088983931703019,-0.19088983931703019,0.9248777555258134,0.9248777555258134,0.9248777555258134,-1.1157675948428436,-1.1157675948428436,-1.1157675948428436,0.0,0.0,0.0,31.16127922369218
